iter	Passed	Remaining
424	1834	2482
425	1838	2476
426	1841	2471
427	1845	2466
428	1849	2461
429	1852	2455
430	1856	2451
431	1860	2446
432	1863	2440
433	1867	2435
434	1872	2431
435	1875	2426
436	1879	2421
437	1882	2415
438	1886	2411
439	1890	2405
440	1893	2400
441	1897	2395
442	1901	2390
443	1904	2385
444	1908	2379
445	1911	2374
446	1915	2370
447	1919	2365
448	1923	2359
449	1926	2354
450	1930	2350
451	1934	2345
452	1938	2340
453	1941	2335
454	1945	2330
455	1949	2325
456	1952	2320
457	1956	2315
458	1960	2310
459	1964	2306
460	1967	2300
461	1971	2295
462	1975	2290
463	1978	2285
464	1982	2280
465	1986	2275
466	1989	2270
467	1993	2266
468	1997	2261
469	2000	2256
470	2003	2250
471	2007	2246
472	2011	2241
473	2014	2236
474	2018	2230
475	2022	2226
476	2026	2221
477	2029	2216
478	2033	2211
479	2037	2206
480	2040	2202
481	2044	2197
482	2047	2191
483	2051	2187
484	2055	2183
485	2059	2178
486	2062	2173
487	2066	2168
488	2070	2163
489	2073	2158
490	2077	2153
491	2081	2148
492	2084	2144
493	2088	2138
494	2091	2134
495	2095	2128
496	2098	2124
497	2102	2119
498	2106	2114
499	2110	2110
500	2113	2105
501	2117	2100
502	2121	2095
503	2124	2090
504	2129	2087
505	2132	2082
506	2136	2077
507	2139	2072
508	2143	2067
509	2147	2063
510	2150	2058
511	2154	2053
512	2158	2049
513	2162	2044
514	2166	2039
515	2169	2035
516	2173	2030
517	2177	2026
518	2180	2021
519	2184	2016
520	2188	2012
521	2192	2007
522	2195	2002
523	2199	1997
524	2203	1993
525	2206	1988
526	2210	1984
527	2214	1979
528	2218	1975
529	2221	1970
530	2225	1965
531	2229	1960
532	2232	1956
533	2236	1951
534	2240	1947
535	2243	1942
536	2247	1938
537	2251	1933
538	2254	1928
539	2258	1923
540	2261	1919
541	2266	1915
542	2269	1910
543	2273	1905
544	2276	1900
545	2280	1896
546	2284	1891
547	2287	1887
548	2291	1882
549	2295	1878
550	2299	1873
551	2303	1869
552	2306	1864
553	2310	1859
554	2313	1855
555	2317	1850
556	2320	1845
557	2325	1841
558	2328	1836
559	2331	1832
560	2335	1827
561	2339	1823
562	2343	1818
563	2347	1814
564	2350	1809
565	2354	1805
566	2358	1800
567	2361	1795
568	2364	1791
569	2369	1787
570	2372	1782
571	2376	1778
572	2379	1773
573	2383	1769
574	2387	1764
575	2391	1760
576	2394	1755
577	2398	1751
578	2402	1746
579	2405	1742
580	2409	1737
581	2412	1732
582	2416	1728
583	2420	1724
584	2424	1719
585	2427	1715
586	2432	1711
587	2435	1706
588	2439	1701
589	2442	1697
590	2446	1692
591	2449	1688
592	2453	1683
593	2456	1679
594	2460	1675
595	2464	1670
596	2467	1665
597	2471	1661
598	2475	1657
599	2479	1653
600	2483	1648
601	2486	1643
602	2490	1639
603	2494	1635
604	2497	1630
605	2501	1626
606	2506	1622
607	2509	1618
608	2513	1613
609	2516	1609
610	2522	1605
611	2526	1601
612	2530	1597
613	2533	1592
614	2537	1588
615	2541	1584
616	2545	1579
617	2548	1575
618	2552	1570
619	2555	1566
620	2559	1562
621	2563	1557
622	2567	1553
623	2570	1548
624	2574	1544
625	2577	1540
626	2581	1535
627	2585	1531
628	2589	1527
629	2592	1522
630	2596	1518
631	2600	1514
632	2603	1509
633	2607	1505
634	2611	1501
635	2615	1496
636	2618	1492
637	2622	1487
638	2626	1483
639	2630	1479
640	2634	1475
641	2637	1470
642	2641	1466
643	2645	1462
644	2649	1458
645	2653	1453
646	2657	1449
647	2661	1445
648	2664	1441
649	2668	1436
650	2672	1432
651	2675	1428
652	2679	1423
653	2682	1419
654	2686	1415
655	2690	1410
656	2693	1406
657	2697	1402
658	2701	1397
659	2705	1393
660	2709	1389
661	2712	1385
662	2716	1380
663	2720	1376
664	2724	1372
665	2727	1367
666	2731	1363
667	2735	1359
668	2738	1355
669	2742	1350
670	2746	1346
671	2749	1342
672	2753	1337
673	2757	1333
674	2760	1329
675	2764	1325
676	2768	1320
677	2771	1316
678	2775	1312
679	2779	1308
680	2783	1303
681	2786	1299
682	2790	1295
683	2794	1290
684	2797	1286
685	2801	1282
686	2804	1277
687	2809	1273
688	2812	1269
689	2816	1265
690	2819	1260
691	2824	1256
692	2827	1252
693	2831	1248
694	2834	1243
695	2838	1239
696	2842	1235
697	2845	1231
698	2849	1226
699	2853	1222
700	2856	1218
701	2860	1214
702	2863	1209
703	2868	1205
704	2871	1201
705	2874	1197
706	2878	1192
707	2882	1188
708	2886	1184
709	2889	1180
710	2893	1176
711	2897	1172
712	2901	1167
713	2905	1163
714	2908	1159
715	2913	1155
716	2916	1151
717	2920	1146
718	2923	1142
719	2928	1138
720	2931	1134
721	2935	1130
722	2938	1125
723	2942	1121
724	2946	1117
725	2950	1113
726	2953	1109
727	2957	1105
728	2961	1100
729	2964	1096
730	2968	1092
731	2972	1088
732	2976	1084
733	2979	1079
734	2982	1075
735	2986	1071
736	2990	1067
737	2994	1063
738	2997	1058
739	3003	1055
740	3007	1051
741	3010	1046
742	3014	1042
743	3018	1038
744	3023	1034
745	3027	1030
746	3031	1026
747	3036	1022
748	3040	1018
749	3043	1014
750	3048	1010
751	3052	1006
752	3055	1002
753	3059	998
754	3063	994
755	3067	989
756	3070	985
757	3074	981
758	3078	977
759	3082	973
760	3086	969
761	3090	965
762	3095	961
763	3098	957
764	3102	953
765	3106	948
766	3111	945
767	3115	941
768	3119	937
769	3123	932
770	3127	928
771	3130	924
772	3134	920
773	3137	916
774	3142	912
775	3145	907
776	3149	903
777	3152	899
778	3157	895
779	3160	891
780	3164	887
781	3167	883
782	3172	879
783	3176	875
784	3179	870
785	3183	866
786	3187	862
787	3190	858
788	3194	854
789	3197	850
790	3201	846
791	3205	841
792	3209	837
793	3212	833
794	3216	829
795	3220	825
796	3224	821
797	3227	817
798	3231	813
799	3235	808
800	3238	804
801	3242	800
802	3246	796
803	3249	792
804	3253	788
805	3256	783
806	3262	780
807	3266	776
808	3269	771
809	3273	767
810	3278	764
811	3282	759
812	3285	755
813	3289	751
814	3293	747
815	3297	743
816	3301	739
817	3304	735
818	3308	731
819	3312	727
820	3316	723
821	3319	718
822	3324	714
823	3327	710
824	3331	706
825	3335	702
826	3339	698
827	3342	694
828	3346	690
829	3350	686
830	3354	682
831	3357	677
832	3361	673
833	3365	669
834	3369	665
835	3373	661
836	3376	657
837	3380	653
838	3384	649
839	3387	645
840	3391	641
841	3395	637
842	3399	633
843	3404	629
844	3410	625
845	3415	621
846	3418	617
847	3422	613
848	3427	609
849	3430	605
850	3434	601
851	3437	597
852	3442	593
853	3445	589
854	3449	585
855	3453	580
856	3457	576
857	3461	572
858	3465	568
859	3468	564
860	3472	560
861	3476	556
862	3480	552
863	3484	548
864	3488	544
865	3492	540
866	3495	536
867	3499	532
868	3503	528
869	3507	524
870	3511	520
871	3514	515
872	3519	511
873	3522	507
874	3526	503
875	3530	499
876	3534	495
877	3538	491
878	3542	487
879	3545	483
880	3550	479
881	3554	475
882	3557	471
883	3561	467
884	3565	463
885	3569	459
886	3572	455
887	3576	451
888	3580	447
889	3584	443
890	3587	438
891	3591	434
892	3596	430
893	3600	426
894	3603	422
895	3607	418
896	3612	414
897	3616	410
898	3620	406
899	3624	402
900	3628	398
901	3634	394
902	3639	390
903	3643	386
904	3646	382
905	3650	378
906	3654	374
907	3658	370
908	3662	366
909	3666	362
910	3672	358
911	3676	354
912	3680	350
913	3686	346
914	3690	342
915	3693	338
916	3698	334
917	3702	330
918	3706	326
919	3710	322
920	3713	318
921	3717	314
922	3721	310
923	3724	306
924	3728	302
925	3732	298
926	3736	294
927	3740	290
928	3743	286
929	3747	282
930	3751	278
931	3755	273
932	3759	269
933	3763	265
934	3767	261
935	3771	257
936	3775	253
937	3779	249
938	3782	245
939	3786	241
940	3790	237
941	3795	233
942	3798	229
943	3802	225
944	3806	221
945	3810	217
946	3813	213
947	3817	209
948	3822	205
949	3825	201
950	3829	197
951	3833	193
952	3837	189
953	3841	185
954	3845	181
955	3848	177
956	3852	173
957	3856	169
958	3859	165
959	3863	160
960	3867	156
961	3871	152
962	3875	148
963	3879	144
964	3883	140
965	3887	136
966	3890	132
967	3895	128
968	3898	124
969	3902	120
970	3906	116
971	3910	112
972	3913	108
973	3917	104
974	3920	100
975	3924	96
976	3928	92
977	3931	88
978	3935	84
979	3939	80
980	3942	76
981	3946	72
982	3949	68
983	3953	64
984	3958	60
985	3961	56
986	3965	52
987	3969	48
988	3973	44
989	3977	40
990	3980	36
991	3984	32
992	3988	28
993	3992	24
994	3995	20
995	3999	16
996	4003	12
997	4007	8
998	4011	4
999	4015	0
